

Country, Hub, Parameters, 2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
eadd_ug,Balawoli,Number of Farmers,15,8,11,9,8,12,5,2
,,Number of Cows,19,10,16,12,12,19,8,2
,,Number of Records,28,52,184,94,62,143,86,8
,,Average Milk Production,4.13,2.83,3.52,3.78,6.36,3.73,3.65,3.25
,,StdDev,2.62,1.49,1.25,1.25,7.71,2.88,3.13,0.66
,Bisheshe,Number of Farmers,17,17,13,9,13,13,5,2
,,Number of Cows,30,33,24,17,24,24,8,4
,,Number of Records,46,132,127,76,100,101,21,4
,,Average Milk Production,4.86,4.78,4.55,5.02,6.65,8.06,12.14,3.75
,,StdDev,2.85,2.73,4.48,3.83,11.36,9.79,14.95,1.64
,Buyende,Number of Farmers,16,15,14,12,13,13,5,1
,,Number of Cows,24,24,25,21,23,24,8,2
,,Number of Records,49,88,158,93,80,147,33,4
,,Average Milk Production,4.61,3.99,3.40,2.81,2.72,2.78,1.94,1.50
,,StdDev,5.06,4.67,3.16,1.59,1.99,2.23,1.35,1.12
,Endiizi,Number of Farmers,17,20,11,9,17,20,7,3
,,Number of Cows,28,35,19,15,27,34,12,4
,,Number of Records,42,74,49,37,72,113,39,4
,,Average Milk Production,5.21,4.59,3.80,4.51,6.06,7.05,8.03,9.25
,,StdDev,2.92,2.35,1.77,2.11,2.54,2.97,4.15,3.96
,Ishongorolo,Number of Farmers,5,10,9,7,9,9,3,2
,,Number of Cows,9,18,17,13,15,13,4,3
,,Number of Records,17,116,112,87,53,57,9,3
,,Average Milk Production,4.29,4.47,5.45,4.91,4.75,4.14,2.56,3.67
,,StdDev,2.16,2.09,8.81,1.86,2.26,2.10,1.89,0.47
,Kabujogera,Number of Farmers,4,9,5,9,6,10,1,1
,,Number of Cows,5,16,9,14,11,16,2,1
,,Number of Records,5,68,77,88,72,71,25,5
,,Average Milk Production,8.20,3.76,3.30,3.14,3.08,3.27,2.40,2.40
,,StdDev,4.02,2.06,1.52,1.29,1.09,1.29,1.30,0.80
,Kagulu,Number of Farmers,11,12,12,11,12,11,4,1
,,Number of Cows,14,19,19,20,20,19,6,2
,,Number of Records,20,72,78,78,58,99,16,3
,,Average Milk Production,2.70,1.99,2.31,2.13,2.22,1.97,2.19,1.67
,,StdDev,2.12,1.47,2.01,1.84,1.82,1.41,1.07,0.94
,Kanyanya,Number of Farmers,16,3,3,2,11,7,5,1
,,Number of Cows,25,5,6,4,15,13,5,1
,,Number of Records,39,17,26,25,36,41,12,1
,,Average Milk Production,4.45,2.09,1.88,2.72,4.92,5.38,5.88,6.00
,,StdDev,3.06,1.09,1.27,1.83,3.84,3.03,2.60,0.00
,Namwendwa,Number of Farmers,14,16,18,15,13,17,11,5
,,Number of Cows,17,28,31,26,23,30,19,9
,,Number of Records,27,101,172,118,76,132,58,11
,,Average Milk Production,3.91,3.19,3.49,2.67,2.64,2.41,3.52,3.36
,,StdDev,2.86,1.82,1.69,1.70,2.25,2.26,2.90,3.20
,Nyabuhikye,Number of Farmers,17,8,8,6,5,4,4,
,,Number of Cows,26,16,14,11,8,8,6,
,,Number of Records,44,74,82,39,22,40,13,
